timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
101062405,101062287,0.15034404,-0.057464693,0.013101229,0.999936,0.0,0.0,0.0,-1.0
101065617,101065515,0.14780992,-0.09962151,0.0007297804,0.999936,0.0,0.0,0.0,-1.0
101069622,101069462,0.16816631,-0.052535422,0.026549129,0.999936,0.0,0.0,0.0,-1.0
101072771,101072662,0.13318995,-0.11422588,0.027002413,0.9999876,0.0,0.0,0.0,-1.0
101076766,101076654,0.16982074,-0.05174454,0.0434897,0.9999876,0.0,0.0,0.0,-1.0
101079958,101079856,0.14760081,-0.08132858,0.046703883,0.9999876,0.0,0.0,0.0,-1.0
101082387,101082262,0.1680764,-0.1363513,0.06980963,0.9999876,0.0,0.0,0.0,-1.0
101086423,101086305,0.1335022,-0.027145766,0.053330183,0.9999876,0.0,0.0,0.0,-1.0
101092822,101092714,0.1877123,-0.08028307,0.053401027,0.9999876,0.0,0.0,0.0,-1.0
101093590,101093466,0.17901413,-0.041215904,0.045875642,0.9999876,0.0,0.0,0.0,-1.0
101097556,101097454,0.1381611,-0.082402855,0.09672902,1.0,0.0,0.0,0.0,-1.0
101100756,101100654,0.17049876,-0.09326628,0.046777926,1.0,0.0,0.0,0.0,-1.0
101104766,101104654,0.14800991,-0.033206005,0.07103879,1.0,0.0,0.0,0.0,-1.0
101108757,101108655,0.17567192,-0.09079776,0.046870567,1.0,0.0,0.0,0.0,-1.0
101110380,101110257,0.1611743,-0.031080294,0.0028254478,1.0,0.0,0.0,0.0,-1.0
101114390,101114268,0.15106785,-0.05064606,0.107503384,1.0,0.0,0.0,0.0,-1.0
101118374,101118256,0.15604344,-0.047371972,0.009158785,1.0,0.0,0.0,0.0,-1.0
101121563,101121461,0.13746688,-0.005588224,0.07962433,1.0,0.0,0.0,0.0,-1.0
101125558,101125456,0.15883636,-0.052267984,0.0670898,1.0,0.0,0.0,0.0,-1.0
101128756,101128654,0.14183182,-0.0030970806,0.0054260376,1.0,0.0,0.0,0.0,-1.0
101133563,101133458,0.14809735,-0.030361468,0.1043017,1.0,0.0,0.0,0.0,-1.0
101136018,101135872,0.13737887,-0.030173315,0.026757272,1.0,0.0,0.0,0.0,-1.0
101138496,101138336,0.14433935,0.0029143468,0.08722868,1.0,0.0,0.0,0.0,-1.0
101143273,101143128,0.12664208,-0.03474258,0.05411247,1.0,0.0,0.0,0.0,-1.0
101146441,101146287,0.14438382,0.00028034486,0.066936195,1.0,0.0,0.0,0.0,-1.0
101149619,101149470,0.14926933,-0.0022848533,0.122458115,1.0,0.0,0.0,0.0,-1.0
101153563,101153454,0.10495956,-0.017167637,0.0201106,1.0,0.0,0.0,0.0,-1.0
101159210,101159107,0.122853324,-0.005930962,0.07535707,1.0,0.0,0.0,0.0,-1.0
101160770,101160654,0.08662464,-0.024886401,0.027859565,1.0,0.0,0.0,0.0,-1.0
101164761,101164655,0.16486894,0.015247939,0.085900396,0.99999905,0.0,0.0,0.0,-1.0
101167167,101167060,0.12062916,0.007963964,0.07534298,0.99999905,0.0,0.0,0.0,-1.0
101171259,101171093,0.1254377,-0.019476091,0.047895323,0.99999905,0.0,0.0,0.0,-1.0
101173564,101173455,0.15819648,0.027526282,0.090938024,0.99999905,0.0,0.0,0.0,-1.0
101177565,101177456,0.0960223,-0.029438704,0.051225755,0.99999905,0.0,0.0,0.0,-1.0
101181559,101181455,0.14657946,0.033275872,0.08484421,0.99999905,0.0,0.0,0.0,-1.0
101184756,101184654,0.086640365,-0.010329076,0.0877107,0.99999905,0.0,0.0,0.0,-1.0
101188783,101188667,0.15412869,-0.0057298928,0.06051141,0.99999964,0.0,0.0,0.0,-1.0
101191969,101191854,0.09843968,0.017388333,0.09577536,0.99999964,0.0,0.0,0.0,-1.0
101195156,101195054,0.12387427,-0.041534614,0.059274852,0.99999964,0.0,0.0,0.0,-1.0
101199175,101199054,0.13227366,0.032339726,0.08495321,0.99999964,0.0,0.0,0.0,-1.0
101201559,101201456,0.095609814,-0.019292654,0.109224446,1.0,0.0,0.0,0.0,-1.0
101205567,101205459,0.15204506,-0.0058048284,0.04580953,1.0,0.0,0.0,0.0,-1.0
101209605,101209465,0.103410296,-0.019123882,0.104601674,1.0,0.0,0.0,0.0,-1.0
101212757,101212655,0.14554052,-0.04029834,0.041717682,1.0,0.0,0.0,0.0,-1.0
101216769,101216656,0.11830578,0.00048664864,0.09234339,1.0,0.0,0.0,0.0,-1.0
101221642,101221540,0.15552293,-0.031772085,0.032748297,1.0,0.0,0.0,0.0,-1.0
