timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
128115657,0.96937,0.23783727,0.029601842,0.05365826,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128119663,0.9683247,0.24200131,0.029752929,0.053827375,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128123656,0.9671637,0.24647695,0.030372726,0.054046735,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128131657,0.965084,0.25436723,0.030732617,0.054458153,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128135654,0.9638786,0.25879458,0.031247947,0.05465394,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128139654,0.9627682,0.2628645,0.03123738,0.054807793,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128143656,0.9617388,0.2665307,0.031590723,0.05497162,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128147710,0.9604876,0.27092797,0.03193683,0.05515078,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128151657,0.9593971,0.27474338,0.0319628,0.055242136,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128155654,0.9582505,0.27865407,0.032329757,0.05534062,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128159654,0.95696,0.2830137,0.03245384,0.055477098,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128163654,0.9558989,0.28653783,0.032645185,0.05556803,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128167711,0.9546141,0.29072985,0.03306154,0.055632886,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128171669,0.9532655,0.29511052,0.033021457,0.05571625,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128175654,0.9522259,0.29840297,0.033302594,0.055788793,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128179699,0.95091516,0.3024916,0.033760697,0.055852707,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
